trip_id,route_id,service_id,shape_id,direction_id,trip_headsign
580,16008308,0,16008307,0,Shola
581,16008308,0,16008306,1,Piassa Arada
582,16028728,0,15863784,0,Mexico
583,16028728,0,15863783,1,Hana Mariam
584,16028886,0,15862749,0,Mexico
585,16028886,0,15862748,1,Haile Garment
586,16067901,0,16067899,0,Kality Menaheria
587,16067901,0,16067900,1,Autobis Tera
588,16068007,0,16068005,0,Kera
589,16068007,0,16068006,1,Addisu Gebeya
590,16068572,0,16068570,0,Mexico
591,16068572,0,16068571,1,Gelan Condominium
592,16068674,0,16068673,0,Kotebe Gebriel
593,16068674,0,16068672,1,Arat Kilo
594,16068754,0,16068753,0,Legehar (Old Train Station)
595,16068754,0,16068752,1,Kara Kore
596,16068915,0,16068913,0,Yeshi Debele
597,16068915,0,16068914,1,St. George Church
598,16069113,0,16069111,0,Legehar (Old Train Station)
599,16069113,0,16069112,1,Gurara
600,16069192,0,16069190,0,Saris Abo
601,16069192,0,16069191,1,Shero Meda
602,16069231,0,16069228,0,Legehar (Old Train Station)
603,16069231,0,16069229,1,Alem Bank
604,16069472,0,16069470,0,Megenagna
605,16069472,0,16069471,1,Gurara
606,16069558,0,16069557,0,Autobis Tera
607,16069558,0,16069556,1,Alem Bank
608,16070513,0,16070512,0,Kara Kore
609,16070513,0,16070511,1,Autobis Tera
610,16070566,0,16070565,0,Menlik Hospital
611,16070566,0,16070564,1,Torhailoch
612,16071249,0,16071247,0,Ayer Tena
613,16071249,0,16071248,1,Abuare Roundabout
614,16071322,0,16071321,0,Kera
615,16071322,0,16071320,1,Ayer Tena
616,16071554,0,16071553,0,Yerer Goro
617,16071554,0,16071552,1,Mexico
618,16071657,0,16071656,0,Bethel
619,16071657,0,16071655,1,Legehar (Old Train Station)
620,16071828,0,16071826,0,Hana Mariam
621,16071828,0,16071827,1,Darmar
622,16072018,0,16072016,0,Piassa Arada
623,16072018,0,16072017,1,Mikili Land
624,16072169,0,16072168,0,Alem Bank
625,16072169,0,16072167,1,Ayer Tena
626,16072247,0,16072245,0,Jemmo 3
627,16072247,0,16072246,1,Autobis Tera
628,16072458,0,16072457,0,Kara
629,16072458,0,16072456,1,Legehar (Old Train Station)
630,16074160,0,16074159,0,Anfo Meda
631,16074160,0,16074158,1,Legehar (Old Train Station)
632,16074208,0,16074206,0,Saris Abo
633,16074208,0,16074207,1,Tulu Dimtu Adebabay
634,16074342,0,16074340,0,Sefera
635,16074342,0,16074341,1,Mexico
636,16074676,0,16074675,0,Dil Ber
637,16074676,0,16074674,1,Legehar (Old Train Station)
638,16074771,0,16074769,0,Legehar (Old Train Station)
639,16074771,0,16074770,1,Sebeta
640,16074871,0,16074870,0,Gerji Mebrat Haile
641,16074871,0,16074869,1,Darmar
642,16075030,0,16075028,0,Piassa Arada
643,16075030,0,16075029,1,Gefersa
644,16086556,0,15598066,0,Sansusi
645,16086556,0,15598067,1,Autobis Tera
